,region,gravity,type,2016,2017,2018,2019,2020,2021
199,Псковская область,тяжких,несовершеннолетними или при их соучастии,60,45,48,48,43,22
200,Республика Карелия,тяжких,несовершеннолетними или при их соучастии,97,77,41,57,54,55
201,Республика Коми,тяжких,несовершеннолетними или при их соучастии,98,75,38,81,70,64
202,Кабардино-Балкарская Республика,тяжких,несовершеннолетними или при их соучастии,21,35,31,38,26,16
203,Карачаево-Черкесская Республика,тяжких,несовершеннолетними или при их соучастии,19,5,12,24,23,19
204,Республика Дагестан,тяжких,несовершеннолетними или при их соучастии,73,57,45,65,35,39
205,Республика Ингушетия,тяжких,несовершеннолетними или при их соучастии,1,0,2,2,7,6
206,Республика Северная Осетия-Алания,тяжких,несовершеннолетними или при их соучастии,24,17,10,18,14,4
207,Ставропольский край,тяжких,несовершеннолетними или при их соучастии,132,91,119,138,139,127
208,Чеченская Республика,тяжких,несовершеннолетними или при их соучастии,7,1,0,3,1,1
209,Астраханская область,тяжких,несовершеннолетними или при их соучастии,45,53,57,68,82,100
210,Волгоградская область,тяжких,несовершеннолетними или при их соучастии,171,136,152,184,251,149
211,город Севастополь,тяжких,несовершеннолетними или при их соучастии,24,18,7,15,23,9
212,Ростовская область,тяжких,несовершеннолетними или при их соучастии,183,193,213,206,175,163
213,Краснодарский край,тяжких,несовершеннолетними или при их соучастии,198,173,156,181,204,222
214,Республика Адыгея (Адыгея),тяжких,несовершеннолетними или при их соучастии,33,29,11,14,16,16
215,Республика Калмыкия,тяжких,несовершеннолетними или при их соучастии,10,11,21,19,19,14
216,Республика Крым,тяжких,несовершеннолетними или при их соучастии,99,91,111,43,67,70
217,Кировская область,тяжких,несовершеннолетними или при их соучастии,97,84,81,77,102,102
218,Нижегородская область,тяжких,несовершеннолетними или при их соучастии,169,161,123,114,139,93
219,Оренбургская область,тяжких,несовершеннолетними или при их соучастии,156,157,85,98,122,102
220,Пензенская область,тяжких,несовершеннолетними или при их соучастии,49,42,38,38,39,41
221,Пермский край,тяжких,несовершеннолетними или при их соучастии,336,257,180,234,183,199
222,Республика Татарстан (Татарстан),тяжких,несовершеннолетними или при их соучастии,235,167,140,186,183,217
223,Республика Башкортостан,тяжких,несовершеннолетними или при их соучастии,225,176,156,200,137,155
224,Республика Марий Эл,тяжких,несовершеннолетними или при их соучастии,40,42,45,49,47,44
225,Республика Мордовия,тяжких,несовершеннолетними или при их соучастии,30,33,22,28,24,25
226,Самарская область,тяжких,несовершеннолетними или при их соучастии,105,101,66,92,105,79
227,Саратовская область,тяжких,несовершеннолетними или при их соучастии,114,112,121,101,106,112
228,Удмуртская Республика,тяжких,несовершеннолетними или при их соучастии,109,103,102,139,98,101
229,Ульяновская область,тяжких,несовершеннолетними или при их соучастии,88,87,62,77,70,50
230,Чувашская Республика - Чувашия,тяжких,несовершеннолетними или при их соучастии,83,58,75,54,64,53
231,Курганская область,тяжких,несовершеннолетними или при их соучастии,135,140,110,133,96,108
232,Свердловская область,тяжких,несовершеннолетними или при их соучастии,413,408,365,363,284,266
233,Тюменская область (без автономных округов),тяжких,несовершеннолетними или при их соучастии,127,124,78,100,98,95
234,Ханты-Мансийский автономный округ - Югра (Тюменская область),тяжких,несовершеннолетними или при их соучастии,66,73,75,57,81,36
235,Ямало-Ненецкий автономный округ (Тюменская область),тяжких,несовершеннолетними или при их соучастии,34,9,25,38,11,15
236,Челябинская область,тяжких,несовершеннолетними или при их соучастии,302,293,290,242,273,215
237,Алтайский край,тяжких,несовершеннолетними или при их соучастии,206,198,215,202,221,164
238,Забайкальский край,тяжких,несовершеннолетними или при их соучастии,334,302,287,227,185,216
239,Иркутская область,тяжких,несовершеннолетними или при их соучастии,304,267,280,241,245,207
240,Кемеровская область - Кузбасс,тяжких,несовершеннолетними или при их соучастии,328,276,264,275,264,266
241,Красноярский край,тяжких,несовершеннолетними или при их соучастии,362,277,234,242,215,238
242,Новосибирская область,тяжких,несовершеннолетними или при их соучастии,359,254,255,242,245,199
243,Омская область,тяжких,несовершеннолетними или при их соучастии,150,102,104,98,51,80
244,Республика Алтай,тяжких,несовершеннолетними или при их соучастии,34,30,27,18,16,17
245,Республика Бурятия,тяжких,несовершеннолетними или при их соучастии,184,186,245,178,197,185
246,Республика Тыва,тяжких,несовершеннолетними или при их соучастии,92,87,82,93,69,72
247,Республика Хакасия,тяжких,несовершеннолетними или при их соучастии,46,32,44,22,47,29
248,Томская область,тяжких,несовершеннолетними или при их соучастии,119,79,89,110,93,44
249,Амурская область,тяжких,несовершеннолетними или при их соучастии,164,153,131,131,129,93
250,Еврейская автономная область,тяжких,несовершеннолетними или при их соучастии,20,31,31,19,29,23
251,Камчатский край,тяжких,несовершеннолетними или при их соучастии,19,23,25,22,30,19
