,region,total,18_30,31_40,41_50,51_60,60_,date
1467,Ивановская область,78.38793037177498,2.812803677341654,4.568095670805385,6.123317886238156,12.324495439788853,52.559217697600936,2018-06-01
1468,Калужская область,76.17106453945836,3.15860400965859,4.756183829370176,6.114670070621525,13.094819375669363,49.04678725413869,2018-06-01
1469,Костромская область,95.21796171136161,3.368442650981465,5.885059472365402,7.503217663261435,17.33496651764896,61.12627540710435,2018-06-01
1470,Курская область,106.95125789406198,4.584675723635425,7.784892359202573,11.942752975376534,24.17782049914054,58.46111633670691,2018-06-01
1471,Липецкая область,104.35132642033871,3.5237319390263093,5.853759473344224,8.659356060375535,19.567014808716042,66.7474641388766,2018-06-01
1472,Орловская область,83.8504537321662,3.2746869509011076,4.893964110929852,7.106084065911271,15.061954079440934,53.51376452498303,2018-06-01
1473,Рязанская область,118.97377915136687,3.5248253637623344,5.65684090759126,8.371125857576725,20.356245441267475,81.06474158116907,2018-06-01
1474,Смоленская область,80.65746175269764,3.3422938690553936,5.50061726574449,7.288159873934532,14.954474017957587,49.57191672600564,2018-06-01
1475,Тамбовская область,107.63948016161741,3.0061380559468707,5.616553400312708,9.089044382866076,19.584887843088687,70.34285647940307,2018-06-01
1476,Тверская область,76.79030558318463,3.0174324095919145,4.786298956360948,6.295794054396346,13.577666949924174,49.113113212911244,2018-06-01
1477,Тульская область,99.82002272338799,3.6022267579624025,6.020022053081566,9.389652479631064,18.670045011076812,62.13807642163615,2018-06-01
1478,Ярославская область,83.99015868099778,2.264388267529652,4.077637072128588,5.879034577351061,12.070153371615664,59.69894539237282,2018-06-01
1479,город Москва,83.47624605124325,2.4266643468003917,3.4956312205812226,5.270073053399249,12.225913823151348,60.05796360731103,2018-06-01
1480,Московская область,56.89925280390117,2.2801708828748626,3.467901487128809,4.5394178760652695,9.344049385710584,37.26771317212165,2018-06-01
1481,Республика Карелия,101.17529125246593,3.380006554385334,5.086074501513292,6.764832509751255,13.20837162079668,72.73600606601936,2018-06-01
1482,Республика Коми,74.99111042928004,3.630750422477592,6.481359254013388,7.555243181788451,14.417159309431982,42.90659826156863,2018-06-01
