,region,gravity,type,2016,2017,2018,2019,2020,2021
189,Тульская область,тяжких,несовершеннолетними или при их соучастии,5.974,4.068,4.692,5.545,3.751,3.726
190,Ярославская область,тяжких,несовершеннолетними или при их соучастии,9.985,7.397,3.476,3.89,4.388,6.605
191,Архангельская область (кроме Ненецкого автономного округа),тяжких,несовершеннолетними или при их соучастии,14.333,8.914,7.831,11.179,8.879,7.943
192,Ненецкий автономный округ (Архангельская область),тяжких,несовершеннолетними или при их соучастии,9.125,25.036,13.637,18.253,6.801,6.758
193,город Санкт-Петербург,тяжких,несовершеннолетними или при их соучастии,3.311,3.067,2.111,2.303,2.093,1.839
194,Ленинградская область,тяжких,несовершеннолетними или при их соучастии,5.509,4.744,4.19,5.249,4.638,3.91
195,Вологодская область,тяжких,несовершеннолетними или при их соучастии,13.64,7.349,7.819,10.962,8.617,7.298
196,Калининградская область,тяжких,несовершеннолетними или при их соучастии,5.53,4.259,6.535,6.685,3.358,4.025
197,Мурманская область,тяжких,несовершеннолетними или при их соучастии,8.135,3.696,4.91,6.55,6.07,7.505
198,Новгородская область,тяжких,несовершеннолетними или при их соучастии,11.532,6.53,7.585,12.327,15.255,16.036
199,Псковская область,тяжких,несовершеннолетними или при их соучастии,9.283,7.008,7.541,7.623,6.868,3.547
200,Республика Карелия,тяжких,несовершеннолетними или при их соучастии,15.4,12.279,6.587,9.222,8.794,9.03
201,Республика Коми,тяжких,несовершеннолетними или при их соучастии,11.437,8.818,4.519,9.756,8.532,7.866
202,Кабардино-Балкарская Республика,тяжких,несовершеннолетними или при их соучастии,2.435,4.049,3.58,4.387,2.994,1.841
203,Карачаево-Черкесская Республика,тяжких,несовершеннолетними или при их соучастии,4.062,1.072,2.573,5.155,4.941,4.083
204,Республика Дагестан,тяжких,несовершеннолетними или при их соучастии,2.421,1.874,1.469,2.106,1.125,1.245
205,Республика Ингушетия,тяжких,несовершеннолетними или при их соучастии,0.212,0.0,0.41,0.402,1.381,1.164
206,Республика Северная Осетия-Алания,тяжких,несовершеннолетними или при их соучастии,3.41,2.417,1.425,2.574,2.009,0.577
207,Ставропольский край,тяжких,несовершеннолетними или при их соучастии,4.712,3.245,4.249,4.937,4.958,4.547
208,Чеченская Республика,тяжких,несовершеннолетними или при их соучастии,0.502,0.071,0.0,0.206,0.068,0.067
209,Астраханская область,тяжких,несовершеннолетними или при их соучастии,4.418,5.202,5.602,6.706,8.153,10.022
210,Волгоградская область,тяжких,несовершеннолетними или при их соучастии,6.717,5.364,6.029,7.338,10.076,6.021
211,город Севастополь,тяжких,несовершеннолетними или при их соучастии,5.766,4.198,1.603,3.384,5.121,1.765
212,Ростовская область,тяжких,несовершеннолетними или при их соучастии,4.32,4.561,5.047,4.902,4.169,3.898
213,Краснодарский край,тяжких,несовершеннолетними или при их соучастии,3.591,3.105,2.784,3.205,3.594,3.906
214,Республика Адыгея (Адыгея),тяжких,несовершеннолетними или при их соучастии,7.309,6.397,2.426,3.079,3.455,3.454
215,Республика Калмыкия,тяжких,несовершеннолетними или при их соучастии,3.588,3.96,7.625,6.969,7.008,5.185
216,Республика Крым,тяжких,несовершеннолетними или при их соучастии,5.191,4.759,5.8,2.249,3.503,3.681
217,Кировская область,тяжких,несовершеннолетними или при их соучастии,7.476,6.503,6.312,6.053,8.08,8.159
218,Нижегородская область,тяжких,несовершеннолетними или при их соучастии,5.184,4.957,3.802,3.546,4.34,2.928
219,Оренбургская область,тяжких,несовершеннолетними или при их соучастии,7.82,7.891,4.298,4.992,6.235,5.25
220,Пензенская область,тяжких,несовершеннолетними или при их соучастии,3.633,3.131,2.854,2.883,2.987,3.176
221,Пермский край,тяжких,несовершеннолетними или при их соучастии,12.754,9.764,6.862,8.963,7.04,7.715
222,Республика Татарстан (Татарстан),тяжких,несовершеннолетними или при их соучастии,6.074,4.298,3.595,4.771,4.689,5.573
223,Республика Башкортостан,тяжких,несовершеннолетними или при их соучастии,5.527,4.328,3.839,4.937,3.393,3.862
224,Республика Марий Эл,тяжких,несовершеннолетними или при их соучастии,5.832,6.134,6.595,7.202,6.918,6.515
225,Республика Мордовия,тяжких,несовершеннолетними или при их соучастии,3.715,4.081,2.733,3.52,3.037,3.209
226,Самарская область,тяжких,несовершеннолетними или при их соучастии,3.275,3.153,2.067,2.89,3.302,2.505
227,Саратовская область,тяжких,несовершеннолетними или при их соучастии,4.583,4.517,4.913,4.138,4.377,4.676
228,Удмуртская Республика,тяжких,несовершеннолетними или при их соучастии,7.184,6.79,6.741,9.221,6.529,6.763
229,Ульяновская область,тяжких,несовершеннолетними или при их соучастии,6.997,6.944,4.973,6.218,5.692,4.104
230,Чувашская Республика - Чувашия,тяжких,несовершеннолетними или при их соучастии,6.712,4.693,6.092,4.414,5.255,4.388
231,Курганская область,тяжких,несовершеннолетними или при их соучастии,15.663,16.391,13.009,15.934,11.606,13.194
232,Свердловская область,тяжких,несовершеннолетними или при их соучастии,9.538,9.424,8.439,8.411,6.588,6.2
233,Тюменская область (без автономных округов),тяжких,несовершеннолетними или при их соучастии,8.731,8.39,5.204,6.585,6.374,6.155
234,Ханты-Мансийский автономный округ - Югра (Тюменская область),тяжких,несовершеннолетними или при их соучастии,4.057,4.435,4.532,3.426,4.837,2.133
235,Ямало-Ненецкий автономный округ (Тюменская область),тяжких,несовершеннолетними или при их соучастии,6.366,1.679,4.642,7.018,2.02,2.742
236,Челябинская область,тяжких,несовершеннолетними или при их соучастии,8.627,8.366,8.302,6.963,7.876,6.245
237,Алтайский край,тяжких,несовершеннолетними или при их соучастии,8.667,8.37,9.149,8.659,9.538,7.142
238,Забайкальский край,тяжких,несовершеннолетними или при их соучастии,30.84,27.989,26.752,21.299,17.458,20.503
239,Иркутская область,тяжких,несовершеннолетними или при их соучастии,12.599,11.084,11.646,10.051,10.246,8.716
240,Кемеровская область - Кузбасс,тяжких,несовершеннолетними или при их соучастии,12.069,10.189,9.796,10.283,9.933,10.101
241,Красноярский край,тяжких,несовершеннолетними или при их соучастии,12.629,9.634,8.135,8.42,7.501,8.334
242,Новосибирская область,тяжких,несовершеннолетними или при их соучастии,12.997,9.138,9.144,8.663,8.756,7.143
243,Омская область,тяжких,несовершеннолетними или при их соучастии,7.582,5.171,5.306,5.041,2.647,4.202
244,Республика Алтай,тяжких,несовершеннолетними или при их соучастии,15.802,13.824,12.382,8.224,7.267,7.694
245,Республика Бурятия,тяжких,несовершеннолетними или при их соучастии,18.732,18.9,24.885,18.103,19.981,18.774
